City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coihaique,-45.5752,-72.0662,68.0,42,0,8.05
1,Kurchum,48.5722,83.6542,-20.34,83,0,2.93
2,Kaitangata,-46.2817,169.8464,66.0,73,92,4.0
3,Barrow,71.2906,-156.7887,-11.2,77,1,13.8
4,Punta Arenas,-53.15,-70.9167,55.4,71,0,12.66
5,Port Moresby,-9.4431,147.1797,82.4,83,75,17.27
6,Sainte-Luce-Sur-Loire,47.2538,-1.4843,44.6,81,0,10.36
7,Qaanaaq,77.484,-69.3632,7.38,75,79,3.67
8,Eyl,7.9803,49.8164,72.16,76,3,15.88
9,Los Llanos De Aridane,28.6585,-17.9182,64.4,55,75,16.11
10,Rikitea,-23.1203,-134.9692,77.9,74,71,11.03
11,Kang,-23.6752,22.7876,78.62,45,54,5.55
12,Souillac,-20.5167,57.5167,77.0,94,40,1.14
13,Pleshanovo,52.8333,53.4833,15.13,93,100,15.1
14,Saint Anthony,45.0205,-93.218,35.6,93,90,6.91
15,Sola,-13.8833,167.55,83.23,76,64,7.72
16,Khash,28.2211,61.2158,39.25,43,0,1.54
17,East London,-33.0153,27.9116,75.25,90,99,10.47
18,Hilo,19.7297,-155.09,84.2,51,40,9.22
19,Jurm,36.8648,70.8342,32.83,50,0,6.64
20,Atuona,-9.8,-139.0333,77.43,77,18,13.18
21,Umba,66.6871,34.3429,-0.4,93,100,2.59
22,Pochutla,15.7432,-96.4661,82.4,57,90,8.05
23,Mataura,-46.1927,168.8643,73.0,64,25,3.0
24,Rio Grande,-32.035,-52.0986,72.0,71,1,5.99
25,Ukiah,39.1502,-123.2078,69.01,45,1,4.68
26,Bluff,-46.6,168.3333,73.0,64,15,3.0
27,Faya,18.3851,42.4509,48.2,87,0,3.33
28,Tasiilaq,65.6145,-37.6368,37.4,75,75,12.66
29,Beringovskiy,63.05,179.3167,-16.06,87,28,8.88
30,Kidal,18.4411,1.4078,68.83,21,60,11.25
31,Ponta Do Sol,32.6667,-17.1,53.01,55,34,5.99
32,Vaini,-21.2,-175.2,84.2,84,20,10.36
33,Khatanga,71.9667,102.5,-51.34,76,52,2.24
34,Mokhsogollokh,61.4681,128.9203,-44.97,79,62,2.89
35,Raga,8.4596,25.678,64.8,26,93,3.83
36,Inverell,-29.7833,151.1167,84.99,62,3,5.01
37,Camacha,33.0833,-16.3333,55.4,67,40,9.22
38,Rivne,50.6231,26.2274,21.99,98,100,7.74
39,Lodja,-3.4833,23.4333,69.57,95,100,0.22
40,Kavieng,-2.5744,150.7967,84.36,70,100,5.77
41,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,10.36
42,Roma,43.2128,-75.4557,35.6,75,90,1.03
43,Bengkulu,-3.8004,102.2655,76.78,81,94,3.96
44,Mungwi,-10.1732,31.3694,62.56,96,100,4.05
45,Cabo San Lucas,22.8909,-109.9124,75.2,27,20,4.61
46,Batagay,67.6333,134.6333,-38.67,76,100,1.19
47,Mar Del Plata,-38.0023,-57.5575,69.01,73,0,14.97
48,Port Alfred,-33.5906,26.891,74.3,89,99,15.86
49,Miranda De Ebro,42.6865,-2.947,43.0,93,75,6.91
50,San Cristobal,7.7669,-72.225,82.4,65,40,6.91
51,Hermanus,-34.4187,19.2345,64.0,85,0,11.99
52,Busselton,-33.65,115.3333,63.0,70,30,5.01
53,Chokurdakh,70.6333,147.9167,-15.95,89,88,8.66
54,North Platte,41.1239,-100.7654,39.2,38,75,33.38
55,Dilijan,40.741,44.8636,36.1,80,42,5.08
56,The Pas,53.8251,-101.2541,28.4,93,90,18.41
57,Bredasdorp,-34.5322,20.0403,68.0,94,73,2.3
58,Vrangel,42.7297,133.0839,19.47,85,100,13.06
59,Geraldton,-28.7667,114.6,86.0,28,0,17.27
60,Severo-Kurilsk,50.6789,156.125,25.54,93,100,20.18
61,Denpasar,-8.65,115.2167,78.8,89,75,5.75
62,Norman Wells,65.282,-126.8329,-0.4,85,40,4.61
63,Palmer,42.1584,-72.3287,34.0,100,90,2.15
64,Maicao,11.3832,-72.2432,77.05,71,93,9.01
65,Kichera,55.9375,110.0997,-4.07,85,100,4.12
66,Vasilyevskiy Mokh,57.0132,35.919,-7.46,91,100,5.28
67,Dikson,73.5069,80.5464,-29.04,80,2,5.53
68,Yellowknife,62.456,-114.3525,6.8,85,75,5.75
69,New Norfolk,-42.7826,147.0587,55.0,74,36,2.24
70,Ushuaia,-54.8,-68.3,53.6,58,20,10.36
71,Cape Town,-33.9258,18.4232,69.01,82,75,12.66
72,Tiksi,71.6872,128.8694,-29.42,84,100,3.36
73,Alexandria,31.2156,29.9553,59.0,72,40,13.8
74,San Carlos,9.6612,-68.5827,77.07,65,65,2.55
75,Alice Springs,-23.7,133.8833,87.8,25,0,17.27
76,Lavrentiya,65.5833,-171.0,4.6,92,98,6.33
77,Gladstone,-23.85,151.25,80.6,47,0,10.36
78,Kruisfontein,-34.0033,24.7314,72.0,90,69,1.01
79,Hobart,-42.8794,147.3294,59.0,55,75,5.75
80,Yar-Sale,66.8333,70.8333,-7.11,87,83,7.47
81,Jaynagar-Majilpur,22.1758,88.4178,57.2,88,4,4.61
82,Pevek,69.7008,170.3133,-18.54,89,76,2.8
83,Kapaa,22.0752,-159.319,79.0,73,20,8.05
84,Natal,-5.795,-35.2094,80.6,74,20,10.36
85,Saint-Philippe,-21.3585,55.7679,78.8,78,40,8.34
86,Sarangani,5.4033,125.4636,82.94,72,22,3.04
87,Meulaboh,4.1363,96.1285,75.61,82,99,3.69
88,Castro,-24.7911,-50.0119,64.02,90,53,9.93
89,Jamestown,42.097,-79.2353,34.0,93,1,6.91
90,Nordenham,53.5,8.4833,33.01,93,100,5.75
91,Torbay,47.6666,-52.7314,33.01,100,90,2.3
92,Port Lincoln,-34.7333,135.8667,61.65,56,38,19.82
93,Chuy,-33.6971,-53.4616,65.68,69,0,11.27
94,Choma,-16.8065,26.9531,65.3,98,100,5.26
95,Saskylakh,71.9167,114.0833,-46.77,76,47,1.92
96,Biak,-0.9131,122.8766,80.58,77,100,2.17
97,Abu Samrah,35.3029,37.1841,48.74,76,18,19.77
98,Pangody,65.85,74.4859,-8.66,89,100,8.55
99,Olinda,-8.0089,-34.8553,80.6,65,75,9.22
100,Peniche,39.3558,-9.3811,53.01,80,94,10.0
101,Esperance,-33.8667,121.9,59.0,82,40,12.66
102,Flic En Flac,-20.2742,57.3631,77.0,94,40,1.14
103,Georgetown,5.4112,100.3354,77.0,88,20,2.3
104,Herne Bay,51.373,1.1286,39.0,81,98,7.0
105,Beloha,-25.1667,45.05,74.79,92,16,8.05
106,Saldanha,-33.0117,17.9442,64.4,94,36,11.5
107,Kunigal,13.0222,77.0267,65.43,87,4,6.6
108,Suntar,62.1444,117.6319,-7.55,90,100,4.97
109,Albany,42.6001,-73.9662,36.0,72,100,0.49
110,Sibu,2.3,111.8167,75.2,100,40,1.92
111,Naryan-Mar,67.6713,53.087,-17.09,83,3,7.67
112,Touros,-5.1989,-35.4608,80.6,74,20,11.5
113,Port Hedland,-20.3167,118.5667,87.8,89,40,8.05
114,Galesong,-5.3166,119.3661,77.0,100,40,2.3
115,Victoria,22.2855,114.1577,60.01,61,0,8.03
116,Acajutla,13.5928,-89.8275,84.2,42,20,3.44
117,Gwadar,25.1216,62.3254,64.2,33,0,4.45
118,Rajgarh,28.6333,75.3833,53.89,39,76,5.32
119,Banda Aceh,5.5577,95.3222,76.82,84,93,10.16
120,Ribeira Grande,38.5167,-28.7,62.6,94,75,19.57
121,Antofagasta,-23.65,-70.4,64.4,72,75,13.8
122,Port Keats,-14.25,129.55,85.3,68,94,4.25
123,Mokshan,53.4365,44.6132,18.0,60,100,6.04
124,Kirkenaer,60.4564,12.0582,12.2,85,0,4.61
125,Saint George,37.1041,-113.5841,62.01,23,1,4.61
126,Ambatofinandrahana,-20.55,46.8,64.76,92,99,1.23
127,George,-33.963,22.4617,66.2,100,75,10.36
128,Sao Miguel Do Araguaia,-13.275,-50.1628,75.63,87,100,5.06
129,Salalah,17.0151,54.0924,75.2,13,0,5.75
130,Dafeng,23.4517,108.5881,54.86,42,78,0.72
131,Verkhnyaya Inta,65.9811,60.3094,-13.22,85,100,1.97
132,Hoi An,15.8794,108.335,57.2,100,20,1.14
133,Fortuna,40.5982,-124.1573,59.0,100,20,10.36
134,Maltahohe,-24.8333,16.9833,66.74,78,98,9.55
135,Galveston,29.3669,-94.9669,66.2,63,1,9.22
136,Pangai,-19.8,-174.35,86.0,79,40,5.75
137,Vaitape,-16.5167,-151.75,81.73,75,11,15.55
138,Lebu,-37.6167,-73.65,57.07,76,54,6.93
139,Rawson,-43.3002,-65.1023,71.11,58,94,24.76
140,Ancud,-41.8697,-73.8203,51.8,93,90,9.22
141,Arraial Do Cabo,-22.9661,-42.0278,77.0,83,0,14.97
142,Astaneh-Ye Ashrafiyeh,37.2596,49.9444,57.36,36,76,7.54
143,Hithadhoo,-0.6,73.0833,81.55,78,98,16.87
144,Punta Alta,-38.8759,-62.0736,80.2,35,25,18.14
145,Russell,32.3502,-85.1999,55.4,44,1,9.22
146,Mahebourg,-20.4081,57.7,77.0,94,40,1.14
147,Umea,63.8284,20.2597,3.2,85,90,5.75
148,Dunda,-8.1167,34.25,65.77,93,85,2.15
149,Avarua,-21.2078,-159.775,86.0,66,20,16.11
150,Gazi,35.3253,25.0669,46.99,66,20,10.36
151,Kozhva,65.1073,57.0459,-11.2,87,100,4.05
152,Praia Da Vitoria,38.7333,-27.0667,62.6,88,75,26.4
153,Nikolskoye,59.7035,30.7861,8.01,84,75,4.47
154,Urucara,-2.5364,-57.76,76.95,90,93,2.04
155,Olafsvik,64.8945,-23.7142,40.37,72,79,23.04
156,Vao,-22.6667,167.4833,76.86,92,100,11.14
157,Nagutskoye,44.4415,42.8762,35.6,100,90,15.66
158,Haines Junction,60.7522,-137.5108,14.0,92,100,1.14
159,Loukhi,66.0764,33.0381,-6.09,92,26,3.6
160,Khaga,25.7833,81.1167,45.25,61,7,2.24
161,Esna,25.2934,32.554,53.6,66,0,8.52
162,Kodiak,57.79,-152.4072,39.2,93,90,23.02
163,Kisangani,0.5167,25.2,70.05,93,91,2.8
164,Lodwar,3.1191,35.5973,81.12,40,1,6.17
165,Port Elizabeth,-33.918,25.5701,68.0,100,90,8.05
166,Nizhnyaya Omka,55.4338,74.9426,-18.33,86,0,6.17
167,Sarakhs,36.5449,61.1577,53.04,36,0,16.26
168,Lazaro Cardenas,17.9583,-102.2,80.15,67,100,7.36
169,Taoudenni,22.6783,-3.9836,56.23,35,32,12.08
170,Kandrian,-6.2167,149.55,86.13,70,100,10.56
171,Wanning,18.8003,110.3967,60.71,83,33,5.39
172,Fontem,5.4685,9.8818,66.31,65,1,1.54
173,Vanderhoof,54.0166,-124.0198,27.48,92,100,9.44
174,Broken Hill,-31.95,141.4333,62.6,45,9,21.85
175,Cascais,38.6979,-9.4215,54.0,93,94,15.01
176,Chiredzi,-21.05,31.6667,71.17,89,99,4.5
177,Puerto Ayora,-0.7393,-90.3518,82.4,65,75,5.75
178,Anadyr,64.75,177.4833,-9.4,77,94,6.71
179,Butaritari,3.0707,172.7902,81.36,76,47,20.49
180,Tazmalt,36.3868,4.3989,43.54,80,47,1.95
181,Monticello,45.3055,-93.7941,34.0,93,90,9.26
182,Hofn,64.2539,-15.2082,37.38,77,0,4.7
183,Richards Bay,-28.783,32.0377,75.4,82,82,10.2
184,Santa Fe,-31.6333,-60.7,77.16,47,7,7.07
185,Urumqi,43.801,87.6005,1.4,85,40,2.89
186,Naraini,25.1833,80.4833,46.94,53,0,2.01
187,Shelburne,44.0787,-80.2041,35.01,81,98,7.78
188,Natitingou,10.3042,1.3796,72.16,19,3,7.34
189,Jining,35.405,116.5814,39.99,1,100,12.28
190,Ishigaki,24.3448,124.1572,64.4,77,20,5.75
191,Leningradskiy,69.3833,178.4167,-3.62,91,100,8.99
192,Upernavik,72.7868,-56.1549,18.59,96,100,4.59
193,Chalmette,29.9427,-89.9634,66.2,48,1,10.36
194,Kidodi,-7.6036,37.0044,71.71,91,54,3.53
195,Kahului,20.8947,-156.47,86.0,48,20,17.27
196,Tarancon,40.0085,-3.0073,33.01,93,0,2.3
197,Pisco,-13.7,-76.2167,71.6,78,0,21.85
198,West Wendover,40.7391,-114.0733,44.6,31,1,5.75
199,Scarborough,54.2797,-0.4044,34.0,93,99,5.53
200,Heze,35.2431,115.4411,34.72,77,100,7.14
201,San Carlos De Bariloche,-41.1456,-71.3082,68.0,39,0,23.02
202,Naze,28.3667,129.4833,64.4,63,20,13.8
203,Mugla,37.2303,28.3557,41.0,93,20,4.14
204,Half Moon Bay,37.4636,-122.4286,68.0,68,1,8.05
205,Entebbe,0.0644,32.4469,73.9,75,99,6.53
206,Pacific Grove,36.6177,-121.9166,64.4,63,1,6.91
207,Samarai,-10.6167,150.6667,81.34,83,100,12.1
208,Carnarvon,-24.8667,113.6333,78.8,94,0,13.8
209,Hollins,37.3413,-79.9431,48.2,34,1,1.45
210,Luena,-11.7833,19.9167,59.83,97,98,4.14
211,Bereda,43.2686,-7.5406,41.0,100,52,0.47
212,Sitka,57.0531,-135.33,42.8,70,90,26.46
213,Cao Bang,22.6667,106.25,49.96,77,53,0.02
214,San,13.3034,-4.8956,72.19,18,0,9.06
215,Lekoni,-1.5843,14.2591,72.63,79,100,2.84
216,Maragogi,-9.0122,-35.2225,78.4,78,18,10.45
217,Opopeo,19.4,-101.6,63.0,53,100,0.65
218,Jizan,17.3333,42.6667,73.4,83,0,4.61
219,Dali,25.7,100.1833,37.72,79,95,0.31
220,Fort-Shevchenko,44.5086,50.263,38.3,88,83,8.34
221,Farafangana,-22.8167,47.8333,77.36,92,4,2.48
222,Mastic Beach,40.7668,-72.8521,39.0,87,40,4.79
223,Yoichi,43.2039,140.7703,24.8,63,75,2.3
224,Dakar,14.6937,-17.4441,66.2,77,0,9.22
225,Ilulissat,69.2167,-51.1,19.4,86,90,5.75
226,Santa Maria,-29.6842,-53.8069,75.2,64,0,11.5
227,Westport,41.1415,-73.3579,41.0,81,40,3.49
228,Hobyo,5.3505,48.5268,75.78,79,20,18.54
229,Tual,-5.6667,132.75,84.74,75,100,12.59
230,Faanui,-16.4833,-151.75,81.73,75,12,15.57
231,Lorengau,-2.0226,147.2712,85.77,64,97,8.79
232,Provideniya,64.3833,-173.3,10.4,79,90,6.71
233,Morondava,-20.2833,44.2833,82.51,78,100,2.48
234,Usinsk,65.9939,57.5281,-16.15,86,100,5.57
235,Gezing,47.9178,13.1299,24.01,100,46,5.75
236,Malanje,-9.5402,16.341,61.3,95,100,7.65
237,Pontivy,48.0,-3.0,46.4,76,0,11.5
238,Werota,11.9167,37.7,60.33,41,9,3.36
239,Laguna,38.421,-121.4238,61.0,76,1,2.33
240,Cockburn Town,21.4612,-71.1419,78.8,73,20,4.61
241,Grand Island,40.925,-98.342,42.8,22,75,33.38
242,Bundaberg,-24.85,152.35,82.4,54,40,5.75
243,Placido De Castro,-10.3353,-67.1856,74.32,95,30,2.86
244,Lebanon,36.2081,-86.2911,52.0,46,1,9.22
245,Siyabuswa,-25.1132,29.0445,72.25,70,34,10.49
246,Zyryanka,65.75,150.85,-26.09,86,100,6.67
247,Baiyin,36.5583,104.2081,28.99,62,0,2.24
248,Great Yarmouth,52.6083,1.7305,39.0,81,75,9.22
249,Nome,64.5011,-165.4064,15.8,79,90,2.84
250,Vila Franca Do Campo,37.7167,-25.4333,61.0,94,40,11.5
251,Airai,-8.9266,125.4092,70.02,93,93,0.69
252,Paso De Carrasco,-34.8603,-56.0522,73.4,60,0,16.11
253,Gardner,42.5751,-71.9981,36.0,100,90,2.73
254,Bethel,41.3712,-73.414,37.99,75,75,2.71
255,Harper,4.375,-7.7169,78.62,85,60,8.75
256,Bandarbeyla,9.4942,50.8122,73.18,77,15,14.67
257,Date,42.4681,140.8681,24.84,87,93,7.85
258,Evensk,61.95,159.2333,-24.5,75,0,8.08
259,Kimbe,-5.5502,150.1429,84.27,67,99,2.48
260,Neiafu,-18.65,-173.9833,84.2,79,40,11.5
261,Bacolod,10.6667,122.95,79.65,83,40,9.46
262,Erzin,36.9559,36.2,48.99,80,61,10.0
263,Kununurra,-15.7667,128.7333,82.4,83,88,5.75
264,San Quintin,30.4833,-115.95,68.85,35,0,6.17
265,Bilibino,68.0546,166.4372,-22.43,83,99,0.65
266,Karratha,-20.7377,116.8463,97.02,34,34,7.7
267,Birin,26.8865,88.0718,44.1,74,2,3.47
268,Kostomuksha,64.571,30.5767,-11.4,88,3,3.76
269,Te Anau,-45.4167,167.7167,74.12,42,25,3.6
270,Bubaque,11.2833,-15.8333,78.01,64,12,11.05
271,Cherskiy,68.75,161.3,-25.71,84,87,5.19
272,Maneadero,31.7167,-116.5667,69.01,69,0,1.01
273,Tazovskiy,67.4667,78.7,-16.33,89,100,11.3
274,Narsaq,60.9167,-46.05,21.2,68,75,9.22
275,Wajir,1.7471,40.0573,75.7,71,25,14.14
276,Hirson,49.9226,4.0826,33.01,98,100,8.99
277,Luderitz,-26.6481,15.1594,64.29,85,27,5.46
278,Falam,22.9167,93.6833,47.7,93,99,0.72
279,Trabzon,40.9167,39.8333,48.2,76,75,17.27
280,Muroto,33.2833,134.15,42.8,87,75,9.22
